[start] episodes=300
Episode 101/300, BossReward: 683.90, EnemyReward: 266.95, eps(B):0.01, eps(E):0.01
Episode 102/300, BossReward: 705.80, EnemyReward: 33.80, eps(B):0.01, eps(E):0.01
Episode 103/300, BossReward: 565.80, EnemyReward: 444.40, eps(B):0.01, eps(E):0.01
Episode 104/300, BossReward: 707.60, EnemyReward: 180.10, eps(B):0.01, eps(E):0.01
Episode 105/300, BossReward: 641.10, EnemyReward: 231.05, eps(B):0.01, eps(E):0.01
Episode 106/300, BossReward: 672.80, EnemyReward: 83.45, eps(B):0.01, eps(E):0.01
Episode 107/300, BossReward: 684.50, EnemyReward: 215.95, eps(B):0.01, eps(E):0.01
Episode 108/300, BossReward: 684.60, EnemyReward: 265.90, eps(B):0.01, eps(E):0.01
Episode 109/300, BossReward: 685.20, EnemyReward: 265.15, eps(B):0.01, eps(E):0.01
Episode 110/300, BossReward: 445.40, EnemyReward: 575.00, eps(B):0.01, eps(E):0.01
Episode 111/300, BossReward: 662.40, EnemyReward: 299.35, eps(B):0.01, eps(E):0.01
Episode 112/300, BossReward: 679.80, EnemyReward: 223.65, eps(B):0.01, eps(E):0.01
Episode 113/300, BossReward: 694.20, EnemyReward: 201.50, eps(B):0.01, eps(E):0.01
Episode 114/300, BossReward: 690.90, EnemyReward: 206.95, eps(B):0.01, eps(E):0.01
Episode 115/300, BossReward: 594.90, EnemyReward: 350.50, eps(B):0.01, eps(E):0.01
Episode 116/300, BossReward: -350.00, EnemyReward: 567.95, eps(B):0.01, eps(E):0.01
Episode 117/300, BossReward: 648.20, EnemyReward: 120.45, eps(B):0.01, eps(E):0.01
Episode 118/300, BossReward: 530.90, EnemyReward: 296.75, eps(B):0.01, eps(E):0.01
Episode 119/300, BossReward: 610.70, EnemyReward: 327.10, eps(B):0.01, eps(E):0.01
Episode 120/300, BossReward: 516.90, EnemyReward: 317.55, eps(B):0.01, eps(E):0.01
Episode 121/300, BossReward: 623.00, EnemyReward: 209.85, eps(B):0.01, eps(E):0.01
Episode 122/300, BossReward: 661.20, EnemyReward: 101.20, eps(B):0.01, eps(E):0.01
Episode 123/300, BossReward: 615.70, EnemyReward: 369.25, eps(B):0.01, eps(E):0.01
Episode 124/300, BossReward: 650.50, EnemyReward: 116.90, eps(B):0.01, eps(E):0.01
Episode 125/300, BossReward: -400.00, EnemyReward: 568.30, eps(B):0.01, eps(E):0.01
Episode 126/300, BossReward: 627.60, EnemyReward: 151.35, eps(B):0.01, eps(E):0.01
